Ano;Mes;Dia;Tipo
2014;1;1;6
2014;1;2;7
2014;1;20;11
2014;2;22;12
2014;2;28;9
2014;3;3;3
2014;3;4;4
2014;3;5;5
2014;4;17;11
2014;4;18;2
2014;4;20;2
2014;4;21;1
2014;4;22;10
2014;5;1;1
2014;5;2;11
2014;6;12;12
2014;6;17;12
2014;6;19;1
2014;6;20;11
2014;6;23;12
2014;6;28;12
2014;7;4;12
2014;7;8;12
2014;7;9;11
2014;7;12;12
2014;7;13;12
2014;9;29;12
2014;10;26;12
2014;10;27;12
2014;11;15;1
2014;11;20;11
2014;12;23;12
2014;12;24;8
2014;12;25;6
2014;12;26;7
2014;12;30;12
2014;12;31;8
2015;1;1;6
2015;1;2;7
2015;1;20;11
2015;2;13;9
2015;2;16;3
2015;2;17;4
2015;2;18;5
2015;4;2;9
2015;4;3;2
2015;4;5;2
2015;4;20;11
2015;4;21;1
2015;4;22;10
2015;5;1;1
2015;6;4;1
2015;6;5;11
2015;7;9;11
2015;9;7;1
2015;9;8;10
2015;10;12;1
2015;10;13;10
2015;11;2;1
2015;11;3;10
2015;11;15;1
2015;11;20;11
2015;12;24;8
2015;12;25;6
2015;12;26;7
2016;1;1;6
2016;1;2;7
2016;1;20;11
2016;2;5;9
2016;2;8;3
2016;2;9;4
2016;2;10;5
2016;3;24;9
2016;3;25;2
2016;3;27;2
2016;4;21;1
2016;4;22;11
2016;5;1;1
2016;5;26;1
2016;5;27;11
2016;7;9;11
2016;9;7;1
2016;9;8;10
2016;10;12;1
2016;10;13;10
2016;11;2;1
2016;11;3;10
2016;11;14;11
2016;11;15;1
2016;11;16;10
2016;11;20;11
2016;12;24;8
2016;12;25;6
2016;12;26;7
2016;12;31;8
2017;1;1;6
2017;1;2;7
2017;1;20;11
2017;2;24;9
2017;2;27;3
2017;2;28;4
2017;3;1;5
2017;4;13;9
2017;4;14;2
2017;4;16;2
2017;4;21;1
2017;5;1;1
2017;5;2;10
2017;6;15;1
2017;6;16;11
2017;7;9;11
2017;9;7;1
2017;9;8;11
2017;10;12;1
2017;10;13;11
2017;11;2;1
2017;11;3;11
2017;11;15;1
2017;11;16;10
2017;11;20;11
2017;12;24;8
2017;12;25;6
2017;12;26;7
2017;12;31;8
2018;1;1;6
2018;1;2;7
2018;1;20;11
2018;2;9;9
2018;2;12;3
2018;2;13;4
2018;2;14;5
2018;3;29;9
2018;3;30;2
2018;4;1;2
2018;4;21;1
2018;4;30;11
2018;5;1;1
2018;5;2;10
2018;5;31;1
2018;6;1;11
2018;7;9;11
2018;9;7;1
2018;10;12;1
2018;11;2;1
2018;11;15;1
2018;11;16;11
2018;11;20;11
2018;12;24;8
2018;12;25;6
2018;12;26;7
2018;12;31;8
2019;1;1;6
2019;1;2;7
2019;1;20;11
2019;3;1;9
2019;3;4;3
2019;3;5;4
2019;3;6;5
2019;4;18;9
2019;4;19;2
2019;4;21;1
2019;4;21;2
2019;5;1;1
2019;5;2;10
2019;6;20;1
2019;6;21;11
2019;7;9;11
2019;9;7;1
2019;10;12;1
2019;11;2;1
2019;11;15;1
2019;11;20;11
2019;12;24;8
2019;12;25;6
2019;12;26;7
2019;12;31;8
2020;1;1;6
2020;1;2;7
2020;1;20;11
2020;2;21;9
2020;2;24;3
2020;2;25;4
2020;2;26;5
2020;4;9;9
2020;4;10;2
2020;4;12;2
2020;4;20;11
2020;4;21;1
2020;4;22;10
2020;5;1;1
2020;6;11;1
2020;6;12;11
2020;7;9;11
2020;9;7;1
2020;9;8;10
2020;9;8;10
2020;10;12;1
2020;10;13;10
2020;11;2;1
2020;11;3;10
2020;11;15;1
2020;11;20;11
2020;12;24;8
2020;12;25;6
2020;12;26;7
2021;1;1;6
2021;1;2;7
2021;1;20;11
